S.no,College Name,City,State,ESTD,Fees Per Year
184,"Swami Ramanand Teerth Rural GMC",Beed,Maharashtra,1974,"1,44,950"
185,"Government Medical College & Hospital",Chandrapur,Maharashtra,2015,"1,27,900"
186,"Government Medical College",Gondia,Maharashtra,2016,"1,44,300"
187,"Government Medical College",Nandurbar,Maharashtra,2020,"1,30,700"
188,"Government Medical College & Hospital",Alibag,Maharashtra,2021,"1,38,060"
189,"Government Medical College & General Hospital",Satara,Maharashtra,2021,"1,39,700"
190,"Government Medical College",Osmanabad,Maharashtra,2022,"1,42,750"
191,"Government Medical College & District Gen Hosp",Ratnagiri,Maharashtra,2023,"1,39,700"
192,"Government Medical College",Parbhani,Maharashtra,2023,"1,43,500"
193,"AIIMS New Delhi",New Delhi,Delhi,1956,"1,628"
194,"Maulana Azad Medical College",New Delhi,Delhi,1958,"2,445"
195,"Vardhman Mahavir Medical College & Safdarjung Hosp",New Delhi,Delhi,2001,"7,045"
196,"Lady Hardinge Medical College",New Delhi,Delhi,1916,"1,355"
197,"ABVIMS & Dr. Ram Manohar Lohia Hospital",New Delhi,Delhi,2019,"36,000"
198,"University College of Medical Sciences",New Delhi,Delhi,1971,"7,045"
199,"Dr. Baba Saheb Ambedkar Medical College",Delhi,Delhi,2016,"1,11,000"
200,"North Delhi Municipal Corporation Medical College",Delhi,Delhi,2013,"1,02,000"
201,"AIIMS Madurai",Madurai,Tamil Nadu,2022,"18,073"
202,"Madras Medical College",Chennai,Tamil Nadu,1835,"19,215"
203,"Stanley Medical College",Chennai,Tamil Nadu,1838,"15,473"
204,"Coimbatore Medical College",Coimbatore,Tamil Nadu,1966,"18,073"
205,"Government Kilpauk Medical College",Chennai,Tamil Nadu,1960,"15,473"
206,"Madurai Medical College",Madurai,Tamil Nadu,1954,"18,073"
207,"Thanjavur Medical College",Thanjavur,Tamil Nadu,1959,"18,073"
208,"Chengalpattu Medical College",Chengalpattu,Tamil Nadu,1965,"19,673"
209,"Tirunelveli Medical College",Tirunelveli,Tamil Nadu,1965,"18,453"
210,"Government Mohan Kumaramangalam MC",Salem,Tamil Nadu,1986,"18,073"
211,"Government Perundurai Medical College (IRT)",Perundurai,Tamil Nadu,1992,"16,233"
212,"Rajah Muthiah Medical College",Chidambaram,Tamil Nadu,1985,"18,110"
213,"K.A.P. Viswanatham Government Medical College",Tiruchirappalli,Tamil Nadu,1998,"19,460"
214,"Government Medical College, Omandurar",Chennai,Tamil Nadu,2015,"13,610"
215,"Thiruvannamalai Government Medical College",Thiruvannamalai,Tamil Nadu,2013,"18,073"
216,"Government Vellore Medical College",Vellore,Tamil Nadu,2005,"15,473"
217,"ESIC Medical College & PGIMSR",Chennai,Tamil Nadu,2013,"1,00,000"
218,"Government Dharmapuri Medical College",Dharmapuri,Tamil Nadu,2008,"16,660"
219,"Government Theni Medical College",Theni,Tamil Nadu,2006,"18,073"
