,,,,,,
,,,,,,
,,,,,,
State,S.No,College,City,Fees Per Year,,
Telangana,23,CMR Institute Of Medical Sciences,Medchal,"11,55,000",,
Telangana,24,Neelima Institute Of Medical Sciences,Medchal,"15,00,000",,
Telangana,25,Deccan College Of Medical Sciences,Hyderabad,"12,50,000",,
Telangana,26,Ayaan Institute Of Medical Sciences,Rangareddy,"12,00,000",,
Telangana,27,Dr VRK Womens Medical College,Rangareddy,"12,00,000",,
Telangana,28,Shadan Institute of Medical Sciences,Hyderabad,"12,00,000",,
Madhya Pradesh,1,People's College of Medical Sciences & Research Centre,Bhopal,"16,35,000",,
Madhya Pradesh,2,L.N. Medical College & Research Centre,Bhopal,"16,58,800",,
Madhya Pradesh,3,Chirayu Medical College & Hospital,Bhopal,"15,23,400",,
Madhya Pradesh,4,Sri Aurbrindo Institute of Medical Sciences,Indore,"12,49,760",,
Madhya Pradesh,5,Index Medical College Hospital & R.C.,Indore,"13,40,000",,
Madhya Pradesh,6,R D Gardi Medical College,Ujjain,"9,00,000",,
Madhya Pradesh,7,Amaltas Medical College,Dewas,"13,17,500",,
Madhya Pradesh,8,RKDF Medical College Hospital & Research Centre,Bhopal,"12,05,000",,
Madhya Pradesh,9,LNCT Medical College & Sewakunj Hospital,Indore,"13,65,000",,
Madhya Pradesh,10,Sukh Sagar Medical College and Hospital,Jabalpur,"9,50,000",,
Madhya Pradesh,11,Mahaveer Institute of Medical Science & Hospital,Bhopal,"10,00,000",,
Madhya Pradesh,12,Ram Krishna Medical College Hospital and Research Centre,Bhopal,"9,00,000",,
Tamil Nadu,1,Annapoorna Medical College & Hospital,Salem,"13,50,000",,
Tamil Nadu,2,Arunai Medical College & Hospital,Thiruvannamalai,"13,50,000",,
Tamil Nadu,3,Christian Medical College,Vellore,"53,000",,
Tamil Nadu,4,"Dhanalakshmi Srinivasan Medical College and Hospital,",Perambalur.,"13,50,000",,
Tamil Nadu,5,Indira Medical College and Hospital,Thiruvallur.,"13,50,000",,
Tamil Nadu,6,Karpagam Faculty of Medical Sciences & Research,Coimbatore,"13,50,000",,
Tamil Nadu,7,"Karpaga Vinayaga Institute of Medical Science and Research,",Madhurantagam,"13,50,000",,
Tamil Nadu,8,"KMCH Institute of Health Sciences and Research,",Coimbatore,"13,50,000",,
Tamil Nadu,9,"Madha Medical College and Research Institute,",Chennai,"13,50,000",,
Tamil Nadu,10,Melmaruvathur Adhiparasakthi Institute of Medical Science and Research,Melmaruvathur,"13,50,000",,
Tamil Nadu,11,Panimalar Medical College Hospital and Research Institute,Chennai,"13,50,000",,
Tamil Nadu,12,PSG Institute of Medical Sciences & Research,Coimbatore,"13,50,000",,
Tamil Nadu,13,"Sree Mookambika Institute of Medical Sciences,",Kanyakumari,"13,50,000",,
Tamil Nadu,14,Sri Muthukumaran Medical College Hospital and Research Institute,Chennai,"13,50,000",,
Tamil Nadu,15,"St. Peter's Medical College Hospital and Research Institute,",Krishnagiri,"13,50,000",,
Tamil Nadu,16,Swamy Vivekananda Medical College and Hospital and Research Institute,Namakkal,"13,50,000",,
Tamil Nadu,17,Tagore Medical College & Hospital,Chennai,"13,50,000",,
Tamil Nadu,18,Trichy SRM Medical College Hospital and Research Centre,Trichy,"13,50,000",,
Tamil Nadu,19,"Velammal Medical College Hospital and Research Institute,",Madurai,"13,50,000",,
Maharashtra,1,K. J. Somaiya Medical College,Mumbai,"10,23,140",,
Maharashtra,2,Terna Medical College,Navi Mumbai,"8,01,500",,
Maharashtra,3,"B.K.L. Walawalkar Rural Medical College,",Ratnagiri,"9,58,371",,
Maharashtra,4,MAEER'S M.I.T.M.E.R. Med. College,Pune,"8,80,000",,
Maharashtra,5,Smt. Kashibai Navale Medical College,Pune,"12,36,956",,
Maharashtra,6,"Ashwin Rural Med. College, Hospital & Research Centre,",Solapur,"8,80,357",,
Maharashtra,7,"Dr. Vasantrao Pawar Medical College, Hospital & Research Center",Nashik,"9,62,000",,
Maharashtra,8,A.C.P.M. Medical College,Dhule,"8,28,000",,
Maharashtra,9,"Dr. Vithalrao Vikhe Patil Foundation's Medical College,",A'nagar,"11,00,000",,
Maharashtra,10,"Dr. Ulhas Patil Medical College,",Jalgaon,"6,36,363",,
Maharashtra,11,"Prakash Institute of medical sciences & research,",Islampur,"6,41,364",,
Maharashtra,12,"S.M.B.T. Institute of Medical Sciences & Research,",Nashik,"11,25,000",,
Maharashtra,13,"Institute of Medical Sciences And Research,",Satara,"7,10,000",,
Maharashtra,14,"Vedanta Institute Of Medical Sciences,",Palghar,"16,87,000",,
Maharashtra,15,"N.K.P. Salve Institute Of Med. Sciences,",Nagpur,"10,42,076",,
Maharashtra,16,Dr. Panjabrao Deshmukh Smruti Medical,Amravati,"9,62,000",,
Maharashtra,17,"M.I.M.S.R. Medical College,",Latur,"8,80,000",,
Maharashtra,18,JIIU'S Indian Inst. of Med. Scien. & Research,Aurangabad,"6,36,364",,
