S.no,College,State,Fees,ESTD
4,Coimbatore MC, Coimbatore,Tamil Nadu,18073,1966
5,Govt. Kilpauk MC, Chennai,Tamil Nadu,15473,1960
6,Madurai MC, Madurai,Tamil Nadu,18073,1954
7,Thanjavur MC, Thanjaur,Tamil Nadu,18073,1959
8,Chengalpattu MC, Chengalpattu,Tamil Nadu,19673,1965
9,Tirunelveli MC, Tirunelveli,Tamil Nadu,18453,1965
10,Govt. Mohan Kumaramangalam,Tamil Nadu,18073,1986
11,IRT Perundurai MC, Perundurai,Tamil Nadu,16233,1992
12,Rajah Muthai MC,Tamil Nadu,18110,1985
13,K.A.P. Vishwanatham, Tiruchirapa,Tamil Nadu,19460,1998
14,Government MC, Omandurar,Tamil Nadu,13610,2015
15,Thiruvannamalai MC,Tamil Nadu,18073,2013
16,Govt Vellore MC, Vellore,Tamil Nadu,15473,2005
17,ESIC MC & PGIMSR, Chennai,Tamil Nadu,100000,2013
18,Govt. Dharmapuri Medical College,Tamil Nadu,16660,2008
19,Theni Govt MC, Theni,Tamil Nadu,18073,2006
20,Govt MC ESI & Hosp. , Coimbatore,Tamil Nadu,18073,1966
21,GVMC, Villupuram,Tamil Nadu,18073,2010
22,Thoothukudi MC, Thoothukudi,Tamil Nadu,13610,2000
23,Kanyakumari GMC, Asaripallam,Tamil Nadu,13610,2003
24,GTMC, Thiruvarur,Tamil Nadu,15023,2010
25,Govt. Sivagangai MC, Sivagangai,Tamil Nadu,13610,2012
26,Govt. Pudukkottai MC Hosp.,Tamil Nadu,18073,2017
27,Govt. MC Karur,Tamil Nadu,18073,2019
28,Government MC, Ariyalur,Tamil Nadu,19863,2021
29,Government MC, Dindigul,Tamil Nadu,13610,2021
30,Government MC, Kallakurichi,Tamil Nadu,15033,2021
31,Government MC, Krishnagiri,Tamil Nadu,15033,2021
32,Government MC, Nagapattinam,Tamil Nadu,15350,2021
33,Government MC, Namakkal,Tamil Nadu,18083,2021
34,Government MC, Nilgiris,Tamil Nadu,15403,2021
35,Government MC, Ramanathapuram,Tamil Nadu,18083,2021
36,Government MC, Thiruvallur,Tamil Nadu,15350,2021
37,Government MC, Ariyalur,Tamil Nadu,15033,2021
38,Government MC, Ariyalur,Tamil Nadu,18073,2021
1,AIIMS Gorakhpur,Uttar Pradesh,42000,2019
2,AIIMS Rai Bareli,Uttar Pradesh,5826,2019
3,IMS BHU Varanasi,Uttar Pradesh,29874,1960
4,JNMC AMU Aligarh,Uttar Pradesh,46340,1961
